#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-18, 14:04:24
# Real time (s): 78365.930
# Live time (s): 77359.070
#
# Total counts:  73932277
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1403125
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	10	0.000129267
2	0.361	3	3.87802e-05
3	0.605	17	0.000219754
4	0.849	6	7.75604e-05
5	1.093	7	9.04871e-05
6	1.337	14	0.000180974
7	1.581	14	0.000180974
8	1.825	6	7.75604e-05
9	2.069	8	0.000103414
10	2.312	7	9.04871e-05
11	2.556	9	0.000116341
12	2.800	14	0.000180974
13	3.044	12	0.000155121
14	3.288	18	0.000232681
15	3.532	16	0.000206828
16	3.776	18	0.000232681
17	4.019	13	0.000168048
18	4.263	13	0.000168048
19	4.507	18	0.000232681
20	4.751	16	0.000206828
21	4.995	14	0.000180974
22	5.239	16	0.000206828
23	5.483	21	0.000271461
24	5.726	25	0.000323168
25	5.970	96	0.00124097
26	6.214	1248	0.0161326
27	6.458	6931	0.0895952
28	6.702	17168	0.221926
29	6.946	24249	0.31346
30	7.190	28022	0.362233
31	7.434	30616	0.395765
32	7.677	32455	0.419537
33	7.921	32938	0.425781
34	8.165	33172	0.428806
35	8.409	31164	0.402849
36	8.653	28875	0.373259
37	8.897	27119	0.35056
38	9.141	26587	0.343683
39	9.384	27678	0.357786
40	9.628	30073	0.388746
41	9.872	34945	0.451725
42	10.116	41150	0.531935
43	10.360	49858	0.644501
44	10.604	62322	0.80562
45	10.848	77014	0.995539
46	11.091	95048	1.22866
47	11.335	118367	1.5301
48	11.579	147724	1.90959
49	11.823	181069	2.34063
50	12.067	217161	2.80718
51	12.311	242823	3.13891
52	12.555	262089	3.38795
53	12.799	281217	3.63522
54	13.042	317661	4.10632
55	13.286	378724	4.89566
56	13.530	461588	5.96682
57	13.774	543922	7.03113
58	14.018	594619	7.68648
59	14.262	594047	7.67909
60	14.506	533705	6.89906
61	14.749	437073	5.64993
62	14.993	332554	4.29884
63	15.237	249473	3.22487
64	15.481	194743	2.51739
65	15.725	164944	2.13219
66	15.969	146922	1.89922
67	16.213	133768	1.72918
68	16.457	120803	1.56159
69	16.700	114297	1.47749
70	16.944	115677	1.49533
71	17.188	125574	1.62326
72	17.432	140494	1.81613
73	17.676	150639	1.94727
74	17.920	149746	1.93573
75	18.164	135860	1.75623
76	18.407	111559	1.44209
77	18.651	87317	1.12872
78	18.895	69858	0.903036
79	19.139	64051	0.82797
80	19.383	68787	0.889191
81	19.627	84336	1.09019
82	19.871	111843	1.44576
83	20.114	153920	1.98968
84	20.358	216680	2.80096
85	20.602	312322	4.0373
86	20.846	462799	5.98248
87	21.090	715209	9.24532
88	21.334	1120437	14.4836
89	21.578	1680727	21.7263
90	21.822	2297570	29.7001
91	22.065	2765009	35.7425
92	22.309	2872360	37.1302
93	22.553	2549078	32.9512
94	22.797	1933729	24.9968
95	23.041	1256446	16.2417
96	23.285	717148	9.27038
97	23.529	388092	5.01676
98	23.772	241881	3.12673
99	24.016	220786	2.85404
100	24.260	286178	3.69935
101	24.504	399172	5.15999
102	24.748	523516	6.76735
103	24.992	612273	7.91469
104	25.236	622489	8.04675
105	25.479	548270	7.08734
106	25.723	425676	5.5026
107	25.967	293666	3.79614
108	26.211	186084	2.40546
109	26.455	115166	1.48872
110	26.699	73831	0.954394
111	26.943	52579	0.679675
112	27.187	41012	0.530151
113	27.430	36634	0.473558
114	27.674	36183	0.467728
115	27.918	38796	0.501506
116	28.162	43213	0.558603
117	28.406	48822	0.631109
118	28.650	53293	0.688904
119	28.894	58648	0.758127
120	29.137	64289	0.831047
121	29.381	72443	0.936451
122	29.625	91034	1.17677
123	29.869	126710	1.63795
124	30.113	187756	2.42707
125	30.357	270941	3.50238
126	30.601	362007	4.67957
127	30.845	428137	5.53441
128	31.088	444931	5.7515
129	31.332	402374	5.20138
130	31.576	323388	4.18035
131	31.820	236720	3.06002
132	32.064	172374	2.22823
133	32.308	141399	1.82783
134	32.552	142600	1.84335
135	32.795	166692	2.15478
136	33.039	200706	2.59447
137	33.283	227611	2.94227
138	33.527	232840	3.00986
139	33.771	212618	2.74846
140	34.015	175716	2.27143
141	34.259	139620	1.80483
142	34.502	118159	1.52741
143	34.746	111301	1.43876
144	34.990	111939	1.44701
145	35.234	110147	1.42384
146	35.478	101969	1.31813
147	35.722	86805	1.12211
148	35.966	70328	0.909111
149	36.210	56126	0.725526
150	36.453	44939	0.580914
151	36.697	37815	0.488824
152	36.941	36250	0.468594
153	37.185	39415	0.509507
154	37.429	46297	0.598469
155	37.673	53910	0.69688
156	37.917	57660	0.745355
157	38.160	56671	0.732571
158	38.404	50603	0.654131
159	38.648	41988	0.542768
160	38.892	33725	0.435954
161	39.136	27067	0.349888
162	39.380	21601	0.27923
163	39.624	17428	0.225287
164	39.868	14404	0.186197
165	40.111	12777	0.165165
166	40.355	11947	0.154436
167	40.599	11581	0.149704
168	40.843	11463	0.148179
169	41.087	11153	0.144172
170	41.331	11474	0.148321
171	41.575	11323	0.146369
172	41.818	11367	0.146938
173	42.062	11659	0.150713
174	42.306	11855	0.153246
175	42.550	11972	0.154759
176	42.794	12577	0.16258
177	43.038	12669	0.163769
178	43.282	13025	0.168371
179	43.525	13198	0.170607
180	43.769	13222	0.170917
181	44.013	13323	0.172223
182	44.257	13171	0.170258
183	44.501	12963	0.167569
184	44.745	12766	0.165023
185	44.989	12922	0.167039
186	45.233	12892	0.166651
187	45.476	12775	0.165139
188	45.720	12840	0.165979
189	45.964	12844	0.166031
190	46.208	13217	0.170853
191	46.452	13299	0.171913
192	46.696	13462	0.17402
193	46.940	13842	0.178932
194	47.183	13917	0.179901
195	47.427	14198	0.183534
196	47.671	15018	0.194134
197	47.915	15301	0.197792
198	48.159	16128	0.208482
199	48.403	17438	0.225416
200	48.647	18762	0.242531
201	48.890	19512	0.252226
202	49.134	20632	0.266704
203	49.378	21885	0.282902
204	49.622	22885	0.295828
205	49.866	23576	0.304761
206	50.110	23926	0.309285
207	50.354	23668	0.30595
208	50.598	23676	0.306053
209	50.841	23884	0.308742
210	51.085	24077	0.311237
211	51.329	25075	0.324138
212	51.573	25544	0.3302
213	51.817	26875	0.347406
214	52.061	28463	0.367934
215	52.305	29924	0.38682
216	52.548	32298	0.417508
217	52.792	34936	0.451608
218	53.036	36634	0.473558
219	53.280	37881	0.489678
220	53.524	37064	0.479116
221	53.768	34467	0.445546
222	54.012	31961	0.413151
223	54.256	29061	0.375664
224	54.499	26477	0.342261
225	54.743	25375	0.328016
226	54.987	24332	0.314533
227	55.231	23789	0.307514
228	55.475	23099	0.298595
229	55.719	22458	0.290309
230	55.963	21831	0.282203
231	56.206	21498	0.277899
232	56.450	20715	0.267777
233	56.694	20259	0.261883
234	56.938	19429	0.251153
235	57.182	19473	0.251722
236	57.426	19388	0.250623
237	57.670	19773	0.2556
238	57.913	22222	0.287258
239	58.157	30056	0.388526
240	58.401	51067	0.660129
241	58.645	93362	1.20687
242	58.889	161616	2.08917
243	59.133	251002	3.24464
244	59.377	335955	4.3428
245	59.621	384740	4.97343
246	59.864	374263	4.838
247	60.108	309386	3.99935
248	60.352	217742	2.81469
249	60.596	133710	1.72843
250	60.840	72912	0.942514
251	61.084	38187	0.493633
252	61.328	22290	0.288137
253	61.571	16738	0.216368
254	61.815	15167	0.19606
255	62.059	14786	0.191135
256	62.303	14679	0.189752
257	62.547	14474	0.187102
258	62.791	14185	0.183366
259	63.035	14019	0.18122
260	63.278	13913	0.17985
261	63.522	14286	0.184671
262	63.766	14031	0.181375
263	64.010	14140	0.182784
264	64.254	14173	0.183211
265	64.498	14296	0.184801
266	64.742	14332	0.185266
267	64.986	14402	0.186171
268	65.229	14827	0.191665
269	65.473	15372	0.19871
270	65.717	15757	0.203687
271	65.961	16213	0.209581
272	66.205	16402	0.212024
273	66.449	16619	0.214829
274	66.693	16597	0.214545
275	66.936	16763	0.216691
276	67.180	16842	0.217712
277	67.424	16797	0.21713
278	67.668	16714	0.216057
279	67.912	16924	0.218772
280	68.156	16781	0.216923
281	68.400	16734	0.216316
282	68.644	16769	0.216768
283	68.887	16973	0.219405
284	69.131	16879	0.21819
285	69.375	17080	0.220789
286	69.619	16673	0.215527
287	69.863	16717	0.216096
288	70.107	16875	0.218139
289	70.351	17290	0.223503
290	70.594	16897	0.218423
291	70.838	17050	0.220401
292	71.082	17130	0.221435
293	71.326	17065	0.220595
294	71.570	17028	0.220116
295	71.814	16929	0.218837
296	72.058	16664	0.215411
297	72.301	16780	0.216911
298	72.545	16759	0.216639
299	72.789	16710	0.216006
300	73.033	16971	0.21938
301	73.277	16815	0.217363
302	73.521	16540	0.213808
303	73.765	16269	0.210305
304	74.009	16211	0.209555
305	74.252	16218	0.209646
306	74.496	16308	0.210809
307	74.740	16682	0.215644
308	74.984	16687	0.215708
309	75.228	16622	0.214868
310	75.472	16286	0.210525
311	75.716	15792	0.204139
312	75.959	15737	0.203428
313	76.203	15171	0.196111
314	76.447	14823	0.191613
315	76.691	14672	0.189661
316	76.935	14728	0.190385
317	77.179	14418	0.186378
318	77.423	14767	0.190889
319	77.666	14389	0.186003
320	77.910	14539	0.187942
321	78.154	14739	0.190527
322	78.398	15086	0.195013
323	78.642	15844	0.204811
324	78.886	17544	0.226787
325	79.130	20179	0.260849
326	79.374	23981	0.309996
327	79.617	28875	0.373259
328	79.861	37803	0.488669
329	80.105	52971	0.684742
330	80.349	77441	1.00106
331	80.593	109069	1.40991
332	80.837	140188	1.81217
333	81.081	159129	2.05702
334	81.324	155566	2.01096
335	81.568	130629	1.68861
336	81.812	95965	1.24051
337	82.056	62087	0.802582
338	82.300	37800	0.48863
339	82.544	23610	0.3052
340	82.788	16974	0.219418
341	83.032	14627	0.189079
342	83.275	13995	0.18091
343	83.519	14128	0.182629
344	83.763	14106	0.182344
345	84.007	14444	0.186714
346	84.251	14626	0.189066
347	84.495	14791	0.191199
348	84.739	15376	0.198761
349	84.982	15021	0.194172
350	85.226	15070	0.194806
351	85.470	14922	0.192893
352	85.714	14658	0.18948
353	85.958	14675	0.1897
354	86.202	14826	0.191652
355	86.446	16227	0.209762
356	86.689	19627	0.253713
357	86.933	27803	0.359402
358	87.177	43371	0.560645
359	87.421	68649	0.887407
360	87.665	100123	1.29426
361	87.909	127775	1.65171
362	88.153	143592	1.85618
363	88.397	137562	1.77823
364	88.640	113867	1.47193
365	88.884	82809	1.07045
366	89.128	53253	0.688387
367	89.372	33194	0.42909
368	89.616	21334	0.275779
369	89.860	16064	0.207655
370	90.104	13800	0.178389
371	90.347	13362	0.172727
372	90.591	13097	0.169301
373	90.835	13259	0.171396
374	91.079	13183	0.170413
375	91.323	13307	0.172016
376	91.567	13174	0.170297
377	91.811	13316	0.172132
378	92.055	13686	0.176915
379	92.298	13606	0.175881
380	92.542	13858	0.179139
381	92.786	13993	0.180884
382	93.030	13823	0.178686
383	93.274	13920	0.17994
384	93.518	13998	0.180948
385	93.762	13828	0.178751
386	94.005	14047	0.181582
387	94.249	13959	0.180444
388	94.493	14350	0.185499
389	94.737	13970	0.180586
390	94.981	14125	0.18259
391	95.225	13987	0.180806
392	95.469	14164	0.183094
393	95.712	14278	0.184568
394	95.956	14244	0.184128
395	96.200	14016	0.181181
396	96.444	14184	0.183353
397	96.688	14225	0.183883
398	96.932	14106	0.182344
399	97.176	13999	0.180961
400	97.420	14090	0.182138
401	97.663	14337	0.185331
402	97.907	14149	0.1829
403	98.151	14323	0.18515
404	98.395	14471	0.187063
405	98.639	14329	0.185227
406	98.883	14486	0.187257
407	99.127	14417	0.186365
408	99.370	14469	0.187037
409	99.614	14378	0.185861
410	99.858	14302	0.184878
411	100.102	14529	0.187812
412	100.346	14355	0.185563
413	100.590	14308	0.184956
414	100.834	14563	0.188252
415	101.077	14689	0.189881
416	101.321	14952	0.193281
417	101.565	14755	0.190734
418	101.809	14865	0.192156
419	102.053	14868	0.192195
420	102.297	14983	0.193681
421	102.541	15133	0.19562
422	102.785	15029	0.194276
423	103.028	15029	0.194276
424	103.272	14955	0.193319
425	103.516	14964	0.193436
426	103.760	14600	0.18873
427	104.004	14608	0.188834
428	104.248	14474	0.187102
429	104.492	14589	0.188588
430	104.735	14505	0.187502
431	104.979	14275	0.184529
432	105.223	14477	0.18714
433	105.467	14310	0.184982
434	105.711	13948	0.180302
435	105.955	14116	0.182474
436	106.199	14031	0.181375
437	106.443	13991	0.180858
438	106.686	13828	0.178751
439	106.930	13987	0.180806
440	107.174	13584	0.175597
441	107.418	13553	0.175196
442	107.662	13364	0.172753
443	107.906	13493	0.17442
444	108.150	13333	0.172352
445	108.393	13114	0.169521
446	108.637	13214	0.170814
447	108.881	13239	0.171137
448	109.125	13326	0.172262
449	109.369	13140	0.169857
450	109.613	13214	0.170814
451	109.857	13013	0.168216
452	110.100	13140	0.169857
453	110.344	12913	0.166923
454	110.588	13104	0.169392
455	110.832	13245	0.171215
456	111.076	13276	0.171615
457	111.320	13710	0.177226
458	111.564	14029	0.181349
459	111.808	14083	0.182047
460	112.051	14196	0.183508
461	112.295	14216	0.183766
462	112.539	13607	0.175894
463	112.783	13249	0.171266
464	113.027	12968	0.167634
465	113.271	12464	0.161119
466	113.515	12211	0.157848
467	113.758	12266	0.158559
468	114.002	12122	0.156698
469	114.246	12055	0.155832
470	114.490	12328	0.159361
471	114.734	12035	0.155573
472	114.978	12151	0.157073
473	115.222	12331	0.1594
474	115.465	12420	0.16055
475	115.709	12504	0.161636
476	115.953	12475	0.161261
477	116.197	12428	0.160653
478	116.441	12404	0.160343
479	116.685	12453	0.160977
480	116.929	12297	0.15896
481	117.173	12287	0.158831
482	117.416	12368	0.159878
483	117.660	12231	0.158107
484	117.904	12259	0.158469
485	118.148	12054	0.155819
486	118.392	12098	0.156388
487	118.636	12136	0.156879
488	118.880	12317	0.159219
489	119.123	12300	0.158999
490	119.367	12096	0.156362
491	119.611	12231	0.158107
492	119.855	12291	0.158882
493	120.099	12694	0.164092
494	120.343	14052	0.181646
495	120.587	18269	0.236158
496	120.831	29877	0.386212
497	121.074	53632	0.693287
498	121.318	96962	1.2534
499	121.562	159808	2.0658
500	121.806	227820	2.94497
501	122.050	282038	3.64583
502	122.294	299686	3.87396
503	122.538	274976	3.55454
504	122.781	215061	2.78004
505	123.025	146444	1.89304
506	123.269	87274	1.12817
507	123.513	47471	0.613645
508	123.757	26133	0.337814
509	124.001	16150	0.208767
510	124.245	12504	0.161636
511	124.488	11167	0.144353
512	124.732	10943	0.141457
