#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	5	0.000415555
2	0.361	4	0.000332444
3	0.605	2	0.000166222
4	0.849	4	0.000332444
5	1.093	5	0.000415555
6	1.337	5	0.000415555
7	1.581	5	0.000415555
8	1.825	5	0.000415555
9	2.069	5	0.000415555
10	2.312	5	0.000415555
11	2.556	4	0.000332444
12	2.800	6	0.000498666
13	3.044	4	0.000332444
14	3.288	4	0.000332444
15	3.532	11	0.00091422
16	3.776	11	0.00091422
17	4.019	6	0.000498666
18	4.263	11	0.00091422
19	4.507	4	0.000332444
20	4.751	3	0.000249333
21	4.995	10	0.000831109
22	5.239	6	0.000498666
23	5.483	5	0.000415555
24	5.726	9	0.000747998
25	5.970	12	0.000997331
26	6.214	77	0.00639954
27	6.458	795	0.0660732
28	6.702	3043	0.252907
29	6.946	5911	0.491269
30	7.190	8055	0.669459
31	7.434	9064	0.753318
32	7.677	9624	0.79986
33	7.921	9890	0.821967
34	8.165	9748	0.810165
35	8.409	9395	0.780827
36	8.653	8619	0.716333
37	8.897	8075	0.671121
38	9.141	8099	0.673116
39	9.384	8764	0.728384
40	9.628	9839	0.817729
41	9.872	11432	0.950124
42	10.116	13754	1.14311
43	10.360	16710	1.38878
44	10.604	20661	1.71716
45	10.848	26148	2.17318
46	11.091	32232	2.67883
47	11.335	39921	3.31787
48	11.579	50032	4.15821
49	11.823	61464	5.10833
50	12.067	74058	6.15503
51	12.311	83052	6.90253
52	12.555	90264	7.50193
