#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	0.118	12	0.00108806
2	0.361	6	0.000544029
3	0.605	14	0.0012694
4	0.849	18	0.00163209
5	1.093	16	0.00145074
6	1.337	16	0.00145074
7	1.581	9	0.000816043
8	1.825	19	0.00172276
9	2.069	15	0.00136007
10	2.312	24	0.00217611
11	2.556	20	0.00181343
12	2.800	14	0.0012694
13	3.044	18	0.00163209
14	3.288	19	0.00172276
15	3.532	17	0.00154141
16	3.776	17	0.00154141
17	4.019	19	0.00172276
18	4.263	23	0.00208544
19	4.507	30	0.00272014
20	4.751	20	0.00181343
21	4.995	16	0.00145074
22	5.239	28	0.0025388
23	5.483	24	0.00217611
24	5.726	22	0.00199477
25	5.970	36	0.00326417
26	6.214	38	0.00344552
27	6.458	36	0.00326417
28	6.702	66	0.00598432
29	6.946	214	0.0194037
30	7.190	1147	0.104
31	7.434	4451	0.403579
32	7.677	10707	0.970819
33	7.921	16376	1.48484
34	8.165	19683	1.78469
35	8.409	20643	1.87173
36	8.653	19946	1.80853
37	8.897	19264	1.74669
38	9.141	20423	1.85178
39	9.384	21743	1.97147
40	9.628	24964	2.26352
41	9.872	29488	2.67372
42	10.116	35701	3.23706
43	10.360	44746	4.05718
44	10.604	56190	5.09483
45	10.848	70216	6.36659
46	11.091	88361	8.01182
47	11.335	111683	10.1265
48	11.579	140044	12.698
49	11.823	172250	15.6182
50	12.067	200580	18.1869
51	12.311	222143	20.142
52	12.555	235350	21.3395
53	12.799	242608	21.9976
54	13.042	259192	23.5013
55	13.286	288776	26.1837
56	13.530	334383	30.319
57	13.774	380245	34.4774
58	14.018	411996	37.3563
59	14.262	412623	37.4131
60	14.506	378638	34.3317
61	14.749	320887	29.0953
62	14.993	255467	23.1636
63	15.237	199478	18.087
64	15.481	158098	14.335
65	15.725	132917	12.0518
66	15.969	115739	10.4942
67	16.213	105828	9.59558
68	16.457	99271	9.00105
69	16.700	97277	8.82025
70	16.944	101570	9.2095
71	17.188	111268	10.0888
