detector_name,level,with_aluminum_foil,parameters,covariance_matrix,start_time,real_time,live_time,measured_efficiency_energy,measured_efficiency_eff,measured_efficiency_eff_error
Akimov,1,False,"[-1477.8000270279583, 1222.6240264955127, -400.099398716644, 65.27020912090512, -5.30214496743439, 0.17139525792160334]","[[228051.16474970937, -204111.5642240573, 72156.97817135554, -12600.350795776836, 1087.4582577041376, -37.127904233107756], [-204111.5642240573, 182788.0167986591, -64656.52151128881, 11297.34348771369, -975.592181057423, 33.32861078982171], [72156.97817135554, -64656.52151128881, 22884.501998536954, -4001.0788114608526, 345.73558837366113, -11.818647289298037], [-12600.350795776836, 11297.34348771369, -4001.0788114608526, 699.991414718156, -60.5262857238395, 2.0703920688651127], [1087.4582577041376, -975.592181057423, 345.73558837366113, -60.5262857238395, 5.237028380278667, -0.17926041664494746], [-37.127904233107756, 33.32861078982171, -11.818647289298037, 2.0703920688651127, -0.17926041664494746, 0.006140118787391509]]",2026-01-09 13:46:29+01:00,2718.7399998,2538.6799999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.13251360396075013, 0.12570142161241019, 0.10841573861427307, 0.07891926881915684, 0.04495152053934957, 0.026198594151487672, 0.020914572393154054, 0.011503357593487867, 0.01022782868639766, 0.0071231200770061395]","[0.001859192123312374, 0.005750550933586884, 0.0008160945664865206, 0.0006725775341336828, 0.0004298438005498971, 0.00038078681883332464, 0.00019081095919762324, 0.0001674625774040314, 0.0001494062692331257, 7.263800563325128e-05]"
Akimov,2,False,"[-213.07843849945652, 131.3777008967101, -28.230033830556643, 2.512409712062164, -0.05898445043633199, -0.0020398023203323096]","[[95646.62041490572, -85768.94813587805, 30382.37760488592, -5316.803652374928, 459.868208611826, -15.73573097419769], [-85768.94813587805, 76952.46434803576, -27274.32794788792, 4775.59549818024, -413.29150049461646, 14.149945621995096], [30382.37760488592, -27274.32794788792, 9672.410465991643, -1694.584895858785, 146.7404940016474, -5.026958566483826], [-5316.803652374928, 4775.59549818024, -1694.584895858785, 297.06688086046347, -25.73989284771761, 0.8823238759432789], [459.868208611826, -413.29150049461646, 146.7404940016474, -25.73989284771761, 2.231667861963029, -0.07654592617501176], [-15.73573097419769, 14.149945621995096, -5.026958566483826, 0.8823238759432789, -0.07654592617501176, 0.0026271656694383007]]",2025-12-16 11:22:57+01:00,2800.0799999,2661.3699999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.0847386168204149, 0.08197495281601938, 0.07003411500579361, 0.05351112645404027, 0.029566161624317043, 0.017637910269790613, 0.013791673413089057, 0.007840891155411056, 0.006928612541026439, 0.00500203727730771]","[0.001151948638280545, 0.0037347454547112667, 0.0005216391665860919, 0.00043386890232672453, 0.000239461941395514, 0.00025701057804997443, 0.00012260082535172942, 0.00011336339689505405, 0.0001008613251412293, 5.064540748484334e-05]"
Akimov,3,False,"[-109.34634701551708, 55.79223756986434, -6.774789609455627, -0.5559181993309845, 0.16381309752592382, -0.008641362030253726]","[[49319.80156551455, -44276.402882914015, 15701.966434102576, -2750.8278120432255, 238.18257826025382, -8.158415054983285], [-44276.402882914015, 39768.876676569256, -14110.82924733982, 2473.3978484484746, -214.2763447390925, 7.34348959845206], [15701.966434102576, -14110.82924733982, 5009.543163634111, -878.5808400247311, 76.15645463848189, -2.6114351247116727], [-2750.8278120432255, 2473.3978484484746, -878.5808400247311, 154.17516448010772, -13.371867523469959, 0.45879383645193406], [238.18257826025382, -214.2763447390925, 76.15645463848189, -13.371867523469959, 1.1604511323838569, -0.03983920338986189], [-8.158415054983285, 7.34348959845206, -2.6114351247116727, 0.45879383645193406, -0.03983920338986189, 0.0013685308641112747]]",2025-12-17 09:57:09+01:00,3036.3799999,2930.4499999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.057324159560702685, 0.055212196977944605, 0.047908408488861826, 0.03763053535280437, 0.020448640136644016, 0.012665286526565463, 0.00991230567820057, 0.00567516716914965, 0.005005778323856984, 0.003670513054989249]","[0.000766427020256332, 0.00252033982008158, 0.0003609653725381252, 0.0003220765931907447, 0.00016224626588550364, 0.00018316015519011572, 9.093805964800704e-05, 8.353732879168458e-05, 7.273642249844271e-05, 3.7136184617779226e-05]"
Akimov,4,False,"[245.27855037037241, -247.43558356030078, 95.68013065960426, -17.72369206302757, 1.5898291060161447, -0.055604909261753745]","[[25395.09402926016, -22808.3753773319, 8092.626997024618, -1418.5089952879541, 122.89393769149699, -4.212054237973783], [-22808.3753773319, 20495.71096328793, -7275.956492925651, 1276.054958827882, -110.61298548649003, 3.7932084289839674], [8092.626997024618, -7275.956492925651, 2584.3914874093903, -453.50769082546094, 39.334268225872165, -1.349648852605439], [-1418.5089952879541, 1276.054958827882, -453.50769082546094, 79.62787974243125, -6.910497030414309, 0.23725584401074332], [122.89393769149699, -110.61298548649003, 39.334268225872165, -6.910497030414309, 0.6000889003738483, -0.020615144208667346], [-4.212054237973783, 3.7932084289839674, -1.349648852605439, 0.23725584401074332, -0.020615144208667346, 0.0007086340246557033]]",2025-12-17 10:49:09+01:00,12351.4299999,12032.1099999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.04074581273334651, 0.03936865805849013, 0.03477284069263389, 0.027847558349755313, 0.015330481972637549, 0.009404915452515145, 0.007280255154853183, 0.004267359144314586, 0.0037816811043395924, 0.002790001725021053]","[0.0005408217000173293, 0.0017935838957561573, 0.0002568703103624628, 0.00022934200283518955, 0.00011808602911480355, 0.00013551853715297534, 6.263539647295553e-05, 6.087931820522892e-05, 5.3910189893906505e-05, 2.752012462629696e-05]"
Akimov,5,False,"[218.8465459477931, -216.62926708239334, 82.6274140351886, -15.167076376863491, 1.3521838079246753, -0.04710202383114946]","[[17769.44369793956, -15951.925178350612, 5656.312192101732, -990.672276915388, 85.74646722843075, -2.935698055685076], [-15951.925178350612, 14327.877171717717, -5083.252221868377, 890.8093277628616, -77.14734036112375, 2.6428125515765157], [5656.312192101732, -5083.252221868377, 1804.4817301032192, -316.4133266701262, 27.419193126431246, -0.9398634939445819], [-990.672276915388, 890.8093277628616, -316.4133266701262, 55.51694240782756, -4.813926441013354, 0.16511455374518516], [85.74646722843075, -77.14734036112375, 27.419193126431246, -4.813926441013354, 0.41768972334604865, -0.014335825011972461], [-2.935698055685076, 2.6428125515765157, -0.9398634939445819, 0.16511455374518516, -0.014335825011972461, 0.000492354455305678]]",2025-12-19 11:55:27+01:00,2965.5599998999996,2907.1299999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.030198183516626946, 0.02910146713499582, 0.026150372876945292, 0.02124339398395666, 0.011679870072418204, 0.007259490901831644, 0.005613636628384728, 0.0033047608616554244, 0.0029014300474459738, 0.002152395270070368]","[0.0004018638844205196, 0.0013465921728737342, 0.0002002607314776424, 0.00018767242499483894, 0.00011559949738977696, 0.00010605627773645921, 6.23764923637358e-05, 5.2393507259385996e-05, 4.232769076981872e-05, 2.3415789273612733e-05]"
Akimov,6,False,"[263.8628133193704, -251.8977916495101, 93.54799687554825, -16.8665847552152, 1.4850868690094583, -0.05127621969346749]","[[9004.08232456791, -8096.231007187785, 2876.1102107083957, -504.77422085120685, 43.78831068350758, -1.502761252542281], [-8096.231007187785, 7283.575879237738, -2588.768273112974, 454.5852386799857, -39.45558167153048, 1.3547872481887944], [2876.1102107083957, -2588.768273112974, 920.6116584596116, -161.7480859193381, 14.046733094223356, -0.4825924210726018], [-504.77422085120685, 454.5852386799857, -161.7480859193381, 28.434736227942203, -2.4707922819858745, 0.08493613161742902], [43.78831068350758, -39.45558167153048, 14.046733094223356, -2.4707922819858745, 0.2148218650623577, -0.007389089599320682], [-1.502761252542281, 1.3547872481887944, -0.4825924210726018, 0.08493613161742902, -0.007389089599320682, 0.00025430875503827064]]",2025-12-19 12:46:57+01:00,342045.6999999,336459.9999999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.023255019620324675, 0.02259248546685879, 0.02038088205095413, 0.016792572350048694, 0.009293256739518741, 0.005799933739996227, 0.004473130890923553, 0.0026580388654720956, 0.0023592427047964054, 0.0017500148155181296]","[0.0003084060933749852, 0.001028908557136505, 0.00014929850502686938, 0.00013449539186752692, 6.655223263065174e-05, 8.237561259123738e-05, 3.738600117213658e-05, 3.740727024674845e-05, 3.319900002522225e-05, 1.730401547017166e-05]"
Akimov,7,False,"[237.89840405582558, -224.92457877638768, 82.86025312979088, -14.844383260553885, 1.3001037211661985, -0.04468298204382255]","[[5968.138042358669, -5367.205169100322, 1906.9212246157672, -334.71952005003124, 29.039741471887368, -0.996710678062583], [-5367.205169100322, 4829.2096197050005, -1716.6707261807219, 301.4855884759511, -26.170458841738448, 0.8987102507275812], [1906.9212246157672, -1716.6707261807219, 610.5672291293711, -107.28885606130224, 9.318450536284724, -0.3201813148756525], [-334.71952005003124, 301.4855884759511, -107.28885606130224, 18.863592500075068, -1.6393279437718997, 0.05635998062635893], [29.039741471887368, -26.170458841738448, 9.318450536284724, -1.6393279437718997, 0.14254900157094613, -0.004903737401031219], [-0.996710678062583, 0.8987102507275812, -0.3201813148756525, 0.05635998062635893, -0.004903737401031219, 0.0001687913204855991]]",2025-12-18 14:04:24+01:00,78365.92999979999,77359.06999989999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.01836024938806974, 0.017929650851100112, 0.016312172301582162, 0.01352568061880945, 0.007546107738656153, 0.004717452861122629, 0.003633824695538242, 0.0021703081453980618, 0.0019312750847427394, 0.0014384315295594698]","[0.00024397234158345948, 0.000816623791110231, 0.00011988361642826317, 0.0001092021104045708, 5.511360268102285e-05, 6.725418191210398e-05, 3.0885275065859785e-05, 3.0570524106067153e-05, 2.7201618562937605e-05, 1.4137811403849875e-05]"
Akimov,8,False,"[238.81211873088205, -223.79057091662366, 81.92367257518745, -14.624916735927236, 1.278799292950246, -0.04393943399271389]","[[4085.930825190585, -3675.6673688603055, 1306.352274824667, -229.37714494854595, 19.906916519261603, -0.6834736089982331], [-3675.6673688603055, 3308.264637161606, -1176.3898443498051, 206.6679326259823, -17.94572043693766, 0.6164695456034739], [1306.352274824667, -1176.3898443498051, 418.5415411621589, -73.57036022973969, 6.391989513977592, -0.2197009108083815], [-229.37714494854595, 206.6679326259823, -73.57036022973969, 12.939483853862942, -1.124873515535092, 0.03868597187371124], [19.906916519261603, -17.94572043693766, 6.391989513977592, -1.124873515535092, 0.09784726085750732, -0.003367114881480655], [-0.6834736089982331, 0.6164695456034739, -0.2197009108083815, 0.03868597187371124, -0.003367114881480655, 0.0001159387311622532]]",2025-12-17 14:16:12+01:00,85645.70999989999,84725.4499999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.014839759364460898, 0.014587654890169938, 0.01329847740615039, 0.011137259597273403, 0.006217895139918212, 0.0038905437274739706, 0.003007664422941523, 0.0018076681094493063, 0.0016142182615530296, 0.0011982223125484622]","[0.00019793875846696552, 0.0006645338678651883, 9.747012318480082e-05, 8.995142761684651e-05, 4.605035251722987e-05, 5.553209203915156e-05, 2.5609396080763065e-05, 2.5498017601110387e-05, 2.290009022199296e-05, 1.1862624998785616e-05]"
Akimov,9,False,"[207.78939434589435, -193.83326496103857, 70.66007420904104, -12.566644173364535, 1.094987964357645, -0.0374983899861755]","[[2864.741809189356, -2577.579846398789, 916.2618058354747, -160.9136990784573, 13.967834467508757, -0.4796521719356627], [-2577.579846398789, 2320.3620948442185, -825.2551450846344, 145.00793001230724, -12.593889212270135, 0.4327014308094583], [916.2618058354747, -825.2551450846344, 293.6669310772191, -51.62963666721291, 4.48653021465283, -0.15423474847612642], [-160.9136990784573, 145.00793001230724, -51.62963666721291, 9.082195674431565, -0.7896851533487143, 0.02716299791720377], [13.967834467508757, -12.593889212270135, 4.48653021465283, -0.7896851533487143, 0.06870263259445598, -0.002364583491051984], [-0.4796521719356627, 0.4327014308094583, -0.15423474847612642, 0.02716299791720377, -0.002364583491051984, 8.143206448277816e-05]]",2025-12-16 12:10:26+01:00,78177.9199999,77461.7199999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.012209513555433022, 0.012103078252084034, 0.01102600179365317, 0.009322387952279335, 0.005217653429820615, 0.0032838627498188375, 0.0025349394608748356, 0.0015292907031454037, 0.0013613758590890438, 0.0010203832263423471]","[0.00016372215881490506, 0.0005514172402615218, 8.108218562885183e-05, 7.496887938261458e-05, 3.816895984538636e-05, 4.6979957935315576e-05, 2.1617913587799893e-05, 2.1420626275372777e-05, 1.918217424064953e-05, 1.0018137101980987e-05]"
Akimov,10,False,"[181.798927767215, -169.0869218520114, 61.48258480752468, -10.912275071401005, 0.9493236340519016, -0.03247065373815402]","[[2102.723437194454, -1892.6712121828393, 673.0619583282146, -118.25087292015525, 10.268741126459199, -0.35276851180783403], [-1892.6712121828393, 1704.4431853503552, -606.4356027330839, 106.60101040413738, -9.261972379520895, 0.3183497499143867], [673.0619583282146, -606.4356027330839, 215.8829594965687, -37.96930556806699, 3.3007708934291013, -0.11351591992633481], [-118.25087292015525, 106.60101040413738, -37.96930556806699, 6.681774400312137, -0.5811968153086672, 0.019999256280470126], [10.268741126459199, -9.261972379520895, 3.3007708934291013, -0.5811968153086672, 0.05058340096789191, -0.0017416196512967336], [-0.35276851180783403, 0.3183497499143867, -0.11351591992633481, 0.019999256280470126, -0.0017416196512967336, 6.000055599144778e-05]]",2025-12-15 16:18:27+01:00,68607.9799999,68064.9199999,"[59.5409, 88.0336, 122.06065, 165.8575, 320.0824, 514.0048, 661.657, 1173.228, 1332.492, 1836.063]","[0.010230146931231221, 0.010174336332099704, 0.00929026286415227, 0.00790499058024075, 0.004449401095496097, 0.0027978465560414387, 0.0021765069112627366, 0.0013032306308331121, 0.0011702140839960275, 0.0008730359132268538]","[0.0001376863030513754, 0.00046370016082272585, 6.851356152148157e-05, 6.417712962197538e-05, 3.218680783797345e-05, 4.001577395039928e-05, 1.859794836980678e-05, 1.857615978815898e-05, 1.6693173297163665e-05, 8.628302073718601e-06]"
