detector_name,level,with_aluminum_foil,parameters,covariance_matrix,start_time,real_time,live_time,measured_efficiency_energy,measured_efficiency_eff,measured_efficiency_eff_error
Akimov,0,False,"[-4855.582183863528, 4204.100902829114, -1443.1268354024044, 246.58768684880658, -20.941914434500333, 0.7061947893783581]","[[1759598.5474750253, -1569261.324065212, 552486.8561792136, -96034.59867614757, 8246.783343349882, -280.07514546868873], [-1569261.324065212, 1400350.405497569, -493323.1947242654, 85804.4258418759, -7372.91523153644, 250.55262935115857], [552486.8561792136, -493323.1947242654, 173901.88533793075, -30266.758437435456, 2602.437193042146, -88.49577998065409], [-96034.59867614757, 85804.4258418759, -30266.758437435456, 5271.300083982948, -453.54948029036353, 15.433278399483775], [8246.783343349882, -7372.91523153644, 2602.437193042146, -453.54948029036353, 39.05058541111938, -1.3297086442305566], [-280.07514546868873, 250.55262935115857, -88.49577998065409, 15.433278399483775, -1.3297086442305566, 0.04530865470010949]]",2018-01-11 14:19:00,,332817.51,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.291994050602275, 0.2808381929304062, 0.24361689866442104, 0.16034915849623482, 0.08124248944627717, 0.05676545759472992, 0.047718671966010706, 0.027503256860603176, 0.023611045694193394, 0.020787159059660824, 0.013489874237295422]","[0.004379990735071257, 0.0070212366628764665, 0.0036558618178949443, 0.0024256706883661284, 0.0012420904799347698, 0.0013479089087120825, 0.0007158263983461307, 0.000415484819665308, 0.0003542084288720035, 0.00031184282458788127, 0.00020501929773919224]"
Akimov,1,False,"[-582.7099338826536, 443.970311456142, -133.62016455973978, 20.387704561038376, -1.5806257858574924, 0.04982252322138121]","[[371768.47325010074, -332243.98247668205, 117215.4131597734, -20416.171066990337, 1756.6691462206657, -59.773791052025764], [-332243.98247668205, 297105.4098683064, -104885.74977906414, 18280.569420750537, -1573.9478667513852, 53.5912635721977], [117215.4131597734, -104885.74977906414, 37052.007681325944, -6462.209293719627, 556.7754538335091, -18.970591289526762], [-20416.171066990337, 18280.569420750537, -6462.209293719627, 1127.8578454041963, -97.24360059535479, 3.3156527289650124], [1756.6691462206657, -1573.9478667513852, 556.7754538335091, -97.24360059535479, 8.390346529687783, -0.28628635804587665], [-59.773791052025764, 53.5912635721977, -18.970591289526762, 3.3156527289650124, -0.28628635804587665, 0.009775423825062246]]",2017-11-08 16:34:00,,74599.08,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.12568414266466288, 0.1202165425080043, 0.10442232253082609, 0.07678603746540748, 0.03455618818168308, 0.027133295043469407, 0.02042039043896154, 0.013614239852718178, 0.011215744127919767, 0.009931527869390775, 0.007088905613317541]","[0.0018856505058542194, 0.0030067949948734993, 0.0015724301442668702, 0.0012049096119775024, 0.0005704322543533759, 0.0008630195906029217, 0.0003065125882976082, 0.00022511194105731067, 0.00016842036803933367, 0.00014912786428163867, 0.00011107956869279771]"
Akimov,2,False,"[217.39212348104869, -244.59929369898836, 101.34573799644832, -19.53847018966721, 1.7950804985133813, -0.06369308295276185]","[[160059.21388364356, -143089.09385538244, 50499.14425720791, -8798.961938834293, 757.3783746354679, -25.781422847353383], [-143089.09385538244, 127993.99413836378, -45199.45614163764, 7880.466141382147, -678.7441912597604, 23.119116083340934], [50499.14425720791, -45199.45614163764, 15971.784919992593, -2786.476252551231, 240.15708669853052, -8.185507232318175], [-8798.961938834293, 7880.466141382147, -2786.476252551231, 486.46138720306084, -41.95497016517291, 1.4309643695782162], [757.3783746354679, -678.7441912597604, 240.15708669853052, -41.95497016517291, 3.620915673600313, -0.12358477855839445], [-25.781422847353383, 23.119116083340934, -8.185507232318175, 1.4309643695782162, -0.12358477855839445, 0.004220995352515613]]",2017-11-04 15:10:00,,333020.94,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.0826841111990852, 0.07776543283185508, 0.06795434777318, 0.05240711384927416, 0.02292416626540835, 0.0182967445367701, 0.013665804582284618, 0.009509737912328271, 0.007720635224104361, 0.006857813491257422, 0.004922885827080484]","[0.001240344722573399, 0.0019443935828725102, 0.0010206983263305691, 0.0007968244914368568, 0.0003557777868734505, 0.0003957566162163038, 0.00020503293436554157, 0.0001472729031522159, 0.00011585064490882545, 0.00010290236814608802, 7.484303331053906e-05]"
Akimov,3,False,"[318.50357633617415, -323.4419548588936, 125.80902269668175, -23.428781624975176, 2.1120783001237133, -0.07423159075224191]","[[83670.48788920621, -74910.10264493125, 26475.769949662743, -4619.582898731146, 398.1616782811983, -13.57044354655183], [-74910.10264493125, 67110.97771758909, -23735.48081526915, 4144.338948667359, -357.4517102217114, 12.191465349094745], [26475.769949662743, -23735.48081526915, 8400.624186044291, -1467.8648959652412, 126.69777116575132, -4.324417577359317], [-4619.582898731146, 4144.338948667359, -1467.8648959652412, 256.67732301694485, -22.171849275175887, 0.7573425300389877], [398.1616782811983, -357.4517102217114, 126.69777116575132, -22.171849275175887, 1.916697438050086, -0.06552128390335689], [-13.57044354655183, 12.191465349094745, -4.324417577359317, 0.7573425300389877, -0.06552128390335689, 0.0022415668949124406]]",2017-11-12 17:22:00,,80185.61,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.055000320940821065, 0.05297466595382899, 0.04674227177746456, 0.03669451048089768, 0.016219996015766684, 0.012956479116108213, 0.009673749121672707, 0.006904253442169088, 0.005575982106722469, 0.004952980560274312, 0.0035991748850144212]","[0.0008253689097029161, 0.0013256875235691983, 0.0007071186232232297, 0.0006032245208612392, 0.0002928639455360378, 0.0005558717302587356, 0.00014529857730336153, 0.00012273142862378805, 8.38104599569699e-05, 7.443984429062618e-05, 5.80524247548496e-05]"
Akimov,4,False,"[424.60293601082947, -404.5143777226173, 149.98097436169914, -26.9933181630081, 2.371735984848488, -0.08169368700486725]","[[45095.44806233749, -40398.480925993186, 14287.250787544373, -2494.5101534570695, 215.14322359835245, -7.337498871056365], [-40398.480925993186, 36214.8270109476, -12816.532617355675, 2239.312418677455, -193.27119335867886, 6.596235615551429], [14287.250787544373, -12816.532617355675, 4539.08438174667, -793.6599317366883, 68.55081217117707, -2.3413523579404636], [-2494.5101534570695, 2239.312418677455, -793.6599317366883, 138.87771322685444, -12.004592462572715, 0.41033508913859273], [215.14322359835245, -193.27119335867886, 68.55081217117707, -12.004592462572715, 1.0384961349800836, -0.03552548356205578], [-7.337498871056365, 6.596235615551429, -2.3413523579404636, 0.41033508913859273, -0.03552548356205578, 0.0012162452429248034]]",2017-11-03 09:22:00,,106587.48,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.04004963479044858, 0.038110836147466846, 0.03405110565927381, 0.02735640980060024, 0.012190526929149851, 0.009434267647068697, 0.007233436223931803, 0.005201198924830429, 0.004216544216591305, 0.003738654704610506, 0.002751603327953974]","[0.0006009974049648783, 0.0009537673553750215, 0.0005152464933721455, 0.00044459475112648315, 0.00021719584621983064, 0.00038340374196927046, 0.00010864513109890093, 9.126473513054362e-05, 6.337616242503382e-05, 5.6189476054639245e-05, 4.409322968206583e-05]"
Akimov,5,False,"[379.574470440737, -359.04913241185585, 132.38026527377812, -23.73920098956735, 2.081014991772508, -0.07157767243682203]","[[28022.608221204926, -25119.8121625551, 8888.777738056127, -1552.6787016316787, 133.96407568904192, -4.570235254988522], [-25119.8121625551, 22533.319022331943, -7979.304216651722, 1394.8499311755568, -120.43731177257136, 4.111854600780464], [8888.777738056127, -7979.304216651722, 2827.704809602419, -494.6932370489652, 42.747831035610176, -1.4606153345716228], [-1552.6787016316787, 1394.8499311755568, -494.6932370489652, 86.61418139147725, -7.490737135824452, 0.2561564191029187], [133.96407568904192, -120.43731177257136, 42.747831035610176, -7.490737135824452, 0.6483730652399666, -0.022190798271306395], [-4.570235254988522, 4.111854600780464, -1.4606153345716228, 0.2561564191029187, -0.022190798271306395, 0.0007601362900633465]]",2017-11-11 13:37:00,,81843.58,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.029392289985340384, 0.02859119290121253, 0.025676854178922563, 0.02123622617487762, 0.009341112446969979, 0.0071161569945364465, 0.005604118553426623, 0.004168784208098775, 0.003293193011614054, 0.0029279897519774796, 0.002189303442196547]","[0.0004412472975739, 0.0007159066948751648, 0.0003912841163715459, 0.0003717963227561131, 0.00018669254515411526, 0.0003915923811532515, 8.425020894305988e-05, 9.361675789424519e-05, 4.9564789090102805e-05, 4.407634331456933e-05, 3.653441553420472e-05]"
Akimov,6,False,"[374.35513084659533, -350.6335295135396, 128.35010813048876, -22.92075528491754, 2.0052160145940032, -0.06894281017984981]","[[17348.30751607456, -15560.68172949822, 5509.679456512313, -963.0387031322747, 83.1442774831206, -2.8383555545154233], [-15560.68172949822, 13967.161043045196, -4949.115292074143, 865.7164610387274, -74.79953809697392, 2.555450425643759], [5509.679456512313, -4949.115292074143, 1755.02837531551, -307.2414959683245, 26.567813590225455, -0.9084004760500184], [-963.0387031322747, 865.7164610387274, -307.2414959683245, 53.83132901273238, -4.658829167766197, 0.1594282346225064], [83.1442774831206, -74.79953809697392, 26.567813590225455, -4.658829167766197, 0.4035445576468784, -0.013821495496843656], [-2.8383555545154233, 2.555450425643759, -0.9084004760500184, 0.1594282346225064, -0.013821495496843656, 0.00047380166012586677]]",2017-11-02 10:23:00,,81807.63,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.02243890060182971, 0.022048580232660743, 0.019932835373253133, 0.016770612365899724, 0.007365684164915798, 0.005787986279060192, 0.004447334996381288, 0.0033000846976322714, 0.002640126631564174, 0.0023412704384741796, 0.0017379861827651482]","[0.0003369960405870772, 0.000552545922739478, 0.0003050916472324247, 0.000296999800894269, 0.000152903066602102, 0.0003242158870169406, 6.689676229833583e-05, 6.529856602056517e-05, 3.9768176668325954e-05, 3.5275211019351356e-05, 2.9484624947067645e-05]"
Akimov,7,False,"[266.0939825049705, -248.90560351108198, 90.90448745309747, -16.178277643678474, 1.409577295394464, -0.04824271611577533]","[[11665.7773316172, -10467.555543962953, 3707.6082453671056, -648.2621062766428, 55.98448523176434, -1.911706711749899], [-10467.555543962953, 9399.274376636824, -3331.770526032418, 583.0071947798524, -50.389207398272106, 1.722017242409189], [3707.6082453671056, -3331.770526032418, 1181.964724384442, -206.99668975072717, 17.90575952028176, -0.6124336727616838], [-648.2621062766428, 583.0071947798524, -206.99668975072717, 36.28232538558415, -3.1412616715545405, 0.10753542355072848], [55.98448523176434, -50.389207398272106, 17.90575952028176, -3.1412616715545405, 0.27220783457200415, -0.0093269121243129], [-1.911706711749899, 1.722017242409189, -0.6124336727616838, 0.10753542355072848, -0.0093269121243129, 0.00031986602453894865]]",2017-11-09 13:34:00,,86252.81,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.01795250530562308, 0.017612688618512447, 0.01593947172811866, 0.013226943686106243, 0.006160999968560504, 0.004001882020457858, 0.0036335942661921495, 0.002708686091465584, 0.0021588665267242794, 0.0019280592284409205, 0.001436414879627286]","[0.00026962669859539537, 0.0004413973907735605, 0.0002451664097546492, 0.00025145250724440104, 0.00013394991352190286, 0.00029650185559305714, 5.468301538618315e-05, 5.500346978397162e-05, 3.2539748415554995e-05, 2.906935529589799e-05, 2.4878979769664588e-05]"
Akimov,8,False,"[247.50044122078967, -230.7846957870598, 84.14663101278384, -14.97763799781137, 1.307049274221313, -0.044861730526051365]","[[8158.851491676226, -7323.119254670749, 2594.5782002408614, -453.7640938701382, 39.19575727075137, -1.3386655393586773], [-7323.119254670749, 6577.873640809015, -2332.351467269083, 408.2307635713853, -35.29134152321571, 1.2062991536170833], [2594.5782002408614, -2332.351467269083, 827.6706652607807, -144.98949256982328, 12.54505384560807, -0.4291746595291297], [-453.7640938701382, 408.2307635713853, -144.98949256982328, 25.421215241077824, -2.201509778957263, 0.07538283520312448], [39.19575727075137, -35.29134152321571, 12.54505384560807, -2.201509778957263, 0.190827861529729, -0.006540234920237266], [-1.3386655393586773, 1.2062991536170833, -0.4291746595291297, 0.07538283520312448, -0.006540234920237266, 0.00022436148253019694]]",2017-11-01 14:06:00,,72657.08,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.014598401137991098, 0.01433596064606011, 0.013073350559493263, 0.011042529113496386, 0.004992722074296625, 0.0045231852987093904, 0.0030150615772348626, 0.0022943285144522018, 0.0018027176925030062, 0.0016041522787830025, 0.0011814287550214815]","[0.00021938215133456945, 0.0003596697737441004, 0.00020321927573156888, 0.00021787776987992332, 0.00011565864734419048, 0.0002801721569924061, 4.543632140205465e-05, 5.042860270110967e-05, 2.722791910254557e-05, 2.4237506413640923e-05, 2.13613403857557e-05]"
Akimov,10,False,"[159.35518739297174, -147.3964180790225, 53.235848365041235, -9.372483572713676, 0.8081797612506518, -0.02738780773979802]","[[4136.268531654407, -3714.368991629246, 1316.6385101088158, -230.37738799764767, 19.909317741711337, -0.6802896782185848], [-3714.368991629246, 3338.063552908706, -1184.2020373776425, 207.37678292398525, -17.936731251735427, 0.6134059075521857], [1316.6385101088158, -1184.2020373776425, 420.46029990035953, -73.69537390743173, 6.379858924413626, -0.21837588423791626], [-230.37738799764767, 207.37678292398525, -73.69537390743173, 12.928576153893738, -1.1202751554411754, 0.03838164262514102], [19.909317741711337, -17.936731251735427, 6.379858924413626, -1.1202751554411754, 0.09716520858843139, -0.003332150665427723], [-0.6802896782185848, 0.6134059075521857, -0.21837588423791626, 0.03838164262514102, -0.003332150665427723, 0.0001143818568963209]]",2017-10-30 11:59:00,,97203.18,"[59.5409, 88.0336, 122.06065, 165.8575, 391.698, 514.0048, 661.657, 898.042, 1173.228, 1332.492, 1836.063]","[0.010035020278618181, 0.010000663533544391, 0.009154871220776795, 0.007753509426336807, 0.0036609263062175822, 0.00373359207612349, 0.002160247452920223, 0.0016435628977665429, 0.0013021277852140133, 0.0011578320670481567, 0.0008644121133894983]","[0.00015083527502729156, 0.0002509691784012931, 0.0001428720168101126, 0.00015738675234664825, 8.750435218053096e-05, 0.00020886347440265328, 3.256115028418317e-05, 3.6467639838301816e-05, 1.967168206424769e-05, 1.7498343041923705e-05, 1.5634957982478927e-05]"
